0,0,1,-43.066820,-144.224200,276.591600
0,0,2,-42.278640,-144.216200,275.899500
0,0,3,-41.568490,-144.207100,275.419500
0,0,4,-40.941890,-144.202600,274.998800
0,0,6,-39.505860,-143.811500,274.068300
0,0,7,-38.852550,-143.828500,273.450600
0,0,9,-37.330460,-143.540600,272.480700
0,0,10,-36.517880,-143.293400,272.107300
0,0,11,-36.097010,-143.257200,271.466200
0,0,14,-34.110510,-142.840900,269.962800
0,0,17,-32.114040,-142.494900,268.478600
0,0,18,-31.410770,-142.342100,267.878400
0,0,19,-30.725390,-142.145200,267.227500
0,0,20,-30.042750,-141.955500,267.043900
0,0,22,-28.708250,-141.422600,266.002900
0,0,23,-28.113870,-141.160900,265.703500
0,0,24,-27.451610,-140.968000,265.096700
0,0,25,-26.837950,-140.739700,264.540200
0,0,26,-26.113190,-140.429900,263.976300
0,0,28,-24.914600,-139.957800,263.184700
0,0,29,-24.283280,-139.920900,262.577700
0,0,30,-23.558490,-139.645500,262.055300
0,0,31,-23.016370,-139.382100,261.646400
0,0,32,-22.452870,-138.984100,261.240000
0,0,33,-21.774610,-138.805100,260.689800
0,0,34,-21.160480,-138.367200,260.373300
0,0,36,-19.901250,-137.976000,259.316000
0,0,37,-19.334860,-137.727000,258.811600
0,0,38,-18.558360,-137.352100,258.225000
0,0,39,-18.230500,-136.912700,258.014300
0,0,40,-17.696270,-136.639300,257.565400
0,0,41,-16.951860,-136.485500,256.990300
0,0,42,-16.420970,-136.060200,256.667100
0,0,43,-15.717350,-135.781100,256.141400
0,0,44,-15.150180,-135.427300,255.654600
0,0,45,-14.603810,-134.925200,255.256300
0,0,46,-13.878840,-134.524200,254.760300
0,0,47,-13.364770,-134.197800,254.398800
0,0,48,-12.790890,-133.994300,253.848500
0,0,49,-12.250910,-133.604500,253.516900
0,0,51,-10.928820,-132.892900,252.746000
0,0,53,-9.946370,-132.044500,252.009400
0,0,54,-9.312201,-131.588300,251.603400
0,0,55,-8.779325,-131.250100,251.155200
0,0,56,-8.180181,-130.872300,250.711100
0,0,57,-7.543398,-130.523600,250.504300
0,0,58,-7.062816,-130.100600,250.166400
0,0,59,-6.575936,-129.687400,249.601100
0,0,62,-4.929370,-128.128300,248.572800
0,0,63,-4.416039,-127.639100,248.265200
0,0,64,-3.870099,-127.085000,247.784600
0,0,65,-3.331974,-126.739700,247.454100
0,0,66,-2.848182,-126.230700,247.167900
0,0,67,-2.462962,-125.598200,246.755700
0,0,68,-2.029407,-124.980500,246.305700
0,0,69,-1.693551,-124.318600,246.020900
0,0,70,-1.084316,-123.795500,245.641600
0,0,71,-0.380825,-123.607900,245.494300
0,0,72,-0.544318,-122.096000,244.903500
0,0,73,0.434737,-122.443200,244.959900
0,0,74,0.068346,-120.794100,244.206700
0,0,76,2.218019,-121.063800,243.825700
0,0,77,2.762036,-120.343600,243.589600
0,0,78,1.807130,-117.780600,242.617000
0,0,79,2.330915,-117.205700,242.382800
0,0,80,2.696433,-116.498000,242.025400
0,0,81,3.176096,-115.768600,241.685200
0,0,82,3.809460,-115.293600,241.395100
0,0,83,4.277030,-114.986900,241.264700
0,0,84,5.421664,-114.385200,241.617200
0,0,85,4.989961,-113.168300,240.675700
0,0,86,5.524436,-112.637900,240.448200
0,0,87,5.967955,-111.944900,240.123200
0,0,88,8.495144,-113.708400,240.831600
0,0,90,6.775593,-109.691600,238.815100
0,0,91,7.556754,-109.386500,238.993000
0,0,92,7.895723,-108.678500,238.820300
0,0,93,8.209623,-108.037700,238.525800
0,0,94,8.452871,-107.325500,238.275200
0,0,95,8.917543,-106.813900,238.178000
0,0,96,9.473144,-106.193600,238.013300
0,0,97,9.790989,-105.395300,237.686500
0,0,98,10.021610,-104.753000,237.448500
0,0,100,10.916260,-103.430600,237.299400
0,1,0,-43.675750,-144.262800,276.767900
0,1,1,-43.459980,-143.993200,276.746800
0,1,2,-42.598110,-144.161800,276.056900
0,1,3,-42.048120,-143.886300,275.756600
0,1,4,-41.210110,-143.906400,275.325500
0,1,7,-38.973330,-143.431900,273.963600
0,1,9,-37.568880,-143.515900,272.546700
0,1,10,-36.715220,-143.092900,272.362900
0,1,11,-36.182400,-143.255200,271.618100
0,1,12,-35.593230,-143.170000,271.101500
